"region"	"boligtype"	"kvartal"	"Gjennomsnittlig kvadratmeterpris (kr)"	"Antall boligomsetninger"
"3001 Halden"	"Eneboliger"	"2006K1"	.	.
"3001 Halden"	"Eneboliger"	"2006K2"	.	.
"3001 Halden"	"Eneboliger"	"2006K3"	.	.
"3001 Halden"	"Eneboliger"	"2006K4"	.	.
"3001 Halden"	"Eneboliger"	"2007K1"	.	.
"3001 Halden"	"Eneboliger"	"2007K2"	.	.
"3001 Halden"	"Eneboliger"	"2007K3"	.	.
"3001 Halden"	"Eneboliger"	"2007K4"	.	.
"3001 Halden"	"Eneboliger"	"2008K1"	.	.
"3001 Halden"	"Eneboliger"	"2008K2"	.	.
"3001 Halden"	"Eneboliger"	"2008K3"	.	.
"3001 Halden"	"Eneboliger"	"2008K4"	.	.
"3001 Halden"	"Eneboliger"	"2009K1"	.	.
"3001 Halden"	"Eneboliger"	"2009K2"	.	.
"3001 Halden"	"Eneboliger"	"2009K3"	.	.
"3001 Halden"	"Eneboliger"	"2009K4"	.	.
"3001 Halden"	"Eneboliger"	"2010K1"	.	.
"3001 Halden"	"Eneboliger"	"2010K2"	.	.
"3001 Halden"	"Eneboliger"	"2010K3"	.	.
"3001 Halden"	"Eneboliger"	"2010K4"	.	.
"3001 Halden"	"Eneboliger"	"2011K1"	.	.
"3001 Halden"	"Eneboliger"	"2011K2"	.	.
"3001 Halden"	"Eneboliger"	"2011K3"	.	.
"3001 Halden"	"Eneboliger"	"2011K4"	.	.
"3001 Halden"	"Eneboliger"	"2012K1"	.	.
"3001 Halden"	"Eneboliger"	"2012K2"	.	.
"3001 Halden"	"Eneboliger"	"2012K3"	.	.
"3001 Halden"	"Eneboliger"	"2012K4"	.	.
"3001 Halden"	"Eneboliger"	"2013K1"	.	.
"3001 Halden"	"Eneboliger"	"2013K2"	.	.
"3001 Halden"	"Eneboliger"	"2013K3"	.	.
"3001 Halden"	"Eneboliger"	"2013K4"	.	.
"3001 Halden"	"Eneboliger"	"2014K1"	.	.
"3001 Halden"	"Eneboliger"	"2014K2"	.	.
"3001 Halden"	"Eneboliger"	"2014K3"	.	.
"3001 Halden"	"Eneboliger"	"2014K4"	.	.
"3001 Halden"	"Eneboliger"	"2015K1"	.	.
"3001 Halden"	"Eneboliger"	"2015K2"	.	.
"3001 Halden"	"Eneboliger"	"2015K3"	.	.
"3001 Halden"	"Eneboliger"	"2015K4"	.	.
"3001 Halden"	"Eneboliger"	"2016K1"	.	.
"3001 Halden"	"Eneboliger"	"2016K2"	.	.
"3001 Halden"	"Eneboliger"	"2016K3"	.	.
"3001 Halden"	"Eneboliger"	"2016K4"	.	.
"3001 Halden"	"Eneboliger"	"2017K1"	.	.
"3001 Halden"	"Eneboliger"	"2017K2"	.	.
"3001 Halden"	"Eneboliger"	"2017K3"	.	.
"3001 Halden"	"Eneboliger"	"2017K4"	.	.
